num,x,y,z,q1,q2,q3,q4
1,-0.855180263519,1.12139980502e-06,0.0,0.0,0.0,0.00869401022375,0.999962206379
2,0.00889662373811,0.916225016117,0.0,0.0,0.0,-0.307061912221,0.951689540797
3,0.00889662373811,0.916225016117,0.0,0.0,0.0,-0.307061912221,0.951689540797
4,0.00889662373811,0.916225016117,0.0,0.0,0.0,-0.307061912221,0.951689540797
5,-0.289421588182,-0.496149927378,0.0,0.0,0.0,-0.40997523401,0.912096654691
6,-0.289421588182,-0.496149927378,0.0,0.0,0.0,-0.40997523401,0.912096654691
7,0.00688995281234,-0.882045090199,0.0,0.0,0.0,-0.00495110850777,0.999987743187
8,0.626564323902,-0.844417989254,0.0,0.0,0.0,0.457581086211,0.889167897273
