num,x,y,z,q1,q2,q3,q4
1,-0.855180263519,1.12139980502e-06,0.0,0.0,0.0,0.00869401022375,0.999962206379
2,-0.968412876129,0.365140676498,0.0,0.0,0.0,0.471346501006,0.881948114114
3,-0.365138143301,1.00016522408,0.0,0.0,0.0,0.222780913156,0.974868537154
4,0.00889662373811,0.916225016117,0.0,0.0,0.0,-0.307061912221,0.951689540797
5,-0.216539844871,0.609741926193,0.0,0.0,0.0,-0.756746410617,0.653708551281
6,-0.242975220084,-0.626864552498,0.0,0.0,0.0,-0.448517793069,0.893773902785
7,0.0102581027895,-0.8657771945,0.0,0.0,0.0,0.325023688346,0.945705875002
8,0.599822282791,-0.764979660511,0.0,0.0,0.0,0.411934613063,0.911213407803
